mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_depth,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.4266524314880371,0.005595363232019704,0.025818347930908203,0.0032121716088194213,3,3,,"{'model__min_samples_leaf': 3, 'model__max_depth': 3, 'model__class_weight': None}",0.33682832020952114,0.3545264675680941,0.3328357857678004,0.34139685784847185,0.009426030318901671,6
0.40533288319905597,0.002725471843586185,0.025443315505981445,0.0014519000206597318,10,3,,"{'model__min_samples_leaf': 10, 'model__max_depth': 3, 'model__class_weight': None}",0.32445177851758084,0.3432116084880259,0.32205733374211415,0.329906906915907,0.009458493692198845,8
0.480868657430013,0.005040060782220733,0.030409892400105793,0.0019612692609422837,25,,,"{'model__min_samples_leaf': 25, 'model__max_depth': None, 'model__class_weight': None}",0.34497150193982834,0.33749798059249186,0.34199962300249587,0.3414897018449387,0.0030722841689820777,5
0.4651276270548503,0.0007658642677893951,0.028960704803466797,0.0010691272533647374,25,6,,"{'model__min_samples_leaf': 25, 'model__max_depth': 6, 'model__class_weight': None}",0.33283916768299165,0.34103713641696665,0.34063110972356314,0.33816913794117376,0.0037725015249626998,7
0.5107296307881674,0.017869788946341874,0.0280150572458903,0.0008806311882698215,3,6,,"{'model__min_samples_leaf': 3, 'model__max_depth': 6, 'model__class_weight': None}",0.35827941751885745,0.37844704221745645,0.34821651499716344,0.36164765824449246,0.012569274128964617,1
0.5193456013997396,0.015161604104254748,0.028747081756591797,0.0011169905596378872,10,6,balanced,"{'model__min_samples_leaf': 10, 'model__max_depth': 6, 'model__class_weight': 'balanced'}",0.3590111321079078,0.341383656117848,0.339916282233352,0.34677035681970264,0.00867624078624979,4
0.5553518136342367,0.016282490200457016,0.031982421875,0.0009374192455513996,10,,balanced,"{'model__min_samples_leaf': 10, 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.3502093247256345,0.34382078895109563,0.3492824721009544,0.34777086192589485,0.002818636943234372,3
0.6230913003285726,0.015030310018126217,0.03691323598225912,0.0006397685351931777,3,,balanced,"{'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.36092893313890967,0.3490238784612375,0.3538651835738769,0.3546059983913414,0.004888366234569729,2
