mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_leaf_nodes,param_model__learning_rate,param_model__l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
27.40857394536336,19.17632061324576,0.018589258193969727,0.0018261374383009633,15,7,0.03,1,"{'model__min_samples_leaf': 15, 'model__max_leaf_nodes': 7, 'model__learning_rate': 0.03, 'model__l2_regularization': 1}",0.3095962382058178,0.39608202193802594,0.3396337641821661,0.3484373414420033,0.03585224238799215,1
0.23131887118021646,0.019030528079579032,0.015977859497070312,5.363128648437831e-05,30,7,0.03,1,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 7, 'model__learning_rate': 0.03, 'model__l2_regularization': 1}",0.3380280771728402,0.37569356259734044,0.324995095334701,0.3462389117016272,0.021496464801443845,3
0.23828673362731934,0.026623579485658855,0.018571853637695312,0.0034899186382605805,30,7,0.07,1,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 7, 'model__learning_rate': 0.07, 'model__l2_regularization': 1}",0.32786917373089225,0.3738768277922812,0.3121289693203603,0.3379583236145112,0.02619850778826522,7
0.49239810307820636,0.006182744801605348,0.02230215072631836,0.007600138160941461,15,15,0.07,10,"{'model__min_samples_leaf': 15, 'model__max_leaf_nodes': 15, 'model__learning_rate': 0.07, 'model__l2_regularization': 10}",0.2965993052964343,0.3796939591297882,0.31891325228852724,0.3317355055715832,0.03511398589700272,8
0.2636845111846924,0.03573919851159327,0.014202356338500977,0.0020567400162380236,30,7,0.07,10,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 7, 'model__learning_rate': 0.07, 'model__l2_regularization': 10}",0.3365177954672711,0.3841471420752537,0.3147930490899417,0.34515266221082214,0.028964555882583894,4
0.4436066150665283,0.0008260362090500421,0.018216927846272785,0.0019773992661680576,30,15,0.03,10,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 15, 'model__learning_rate': 0.03, 'model__l2_regularization': 10}",0.31764894708344915,0.3694338106682635,0.33709158243943776,0.3413914467303835,0.021358599342573465,6
0.2853333155314128,0.02511209195641154,0.021568934122721355,0.004371453336150908,15,7,0.03,10,"{'model__min_samples_leaf': 15, 'model__max_leaf_nodes': 7, 'model__learning_rate': 0.03, 'model__l2_regularization': 10}",0.33143992528742755,0.3820691917201794,0.3288807435385017,0.34746328684870287,0.02449236400440308,2
28.766140063603718,20.21738214922501,0.526597817738851,0.7279137810999441,30,7,0.03,10,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 7, 'model__learning_rate': 0.03, 'model__l2_regularization': 10}",0.33677531006068995,0.3760231070530361,0.3221685383482329,0.3449889851539863,0.022740228472888747,5
