mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_depth,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.2782589594523112,0.011990205356569061,0.024605194727579754,0.0013187547267329307,3,4,,"{'model__min_samples_leaf': 3, 'model__max_depth': 4, 'model__class_weight': None}",0.38353448635303,0.3659065193656691,0.3360124680464116,0.36181782458837025,0.01961502187474482,3
0.2785332202911377,0.008796358796222887,0.023751338322957356,3.15039477713598e-05,10,4,,"{'model__min_samples_leaf': 10, 'model__max_depth': 4, 'model__class_weight': None}",0.37384944192380515,0.35320007078460935,0.33034730296804915,0.3524656052254878,0.01776726584057749,5
0.30754979451497394,0.02847241971387325,0.026959339777628582,0.0014087294773487307,25,,,"{'model__min_samples_leaf': 25, 'model__max_depth': None, 'model__class_weight': None}",0.35332078789110194,0.3420298653347359,0.3309386371960562,0.3420964301406313,0.009137595985413667,7
0.38646793365478516,0.03251204333264263,0.033047119776407875,0.007199474785863696,25,8,,"{'model__min_samples_leaf': 25, 'model__max_depth': 8, 'model__class_weight': None}",0.3541243300055668,0.33657030327747806,0.33349896924276456,0.3413978675086031,0.009085901494556072,8
0.3523143132527669,0.005668586950666221,0.02873682975769043,0.00033004555252950446,3,8,,"{'model__min_samples_leaf': 3, 'model__max_depth': 8, 'model__class_weight': None}",0.3987540830612506,0.3807494916961824,0.34065654575829574,0.3733867068385763,0.024282900853777795,1
0.3524239857991536,0.002435053857742496,0.02856302261352539,0.00048886995663513,10,8,balanced,"{'model__min_samples_leaf': 10, 'model__max_depth': 8, 'model__class_weight': 'balanced'}",0.36894662597376393,0.33666076257559613,0.3308118249305443,0.3454730711599681,0.016769185024743723,6
0.3598467508951823,0.011352562693255786,0.028941869735717773,0.0003583834930595091,10,,balanced,"{'model__min_samples_leaf': 10, 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.37821821623155083,0.34688521700118863,0.33464057655503276,0.3532480032625907,0.018350594117545187,4
0.412813663482666,0.005784889497020457,0.03495184580485026,0.0004855416981148301,3,,balanced,"{'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.3949247112685064,0.35911726228913254,0.3467738075920124,0.3669385937165504,0.020420697020243756,2
