mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.09831786155700684,0.012793108083807323,0.005401213963826497,0.00097761962570642,,100.0,"{'model__class_weight': None, 'model__C': 100}",0.5714707405152084,0.58176342931149,0.5819806771557122,0.5784049489941369,0.004904027907641335,5
0.09476288159688313,0.014778092868039477,0.005052010218302409,0.0002790700982475762,balanced,0.01,"{'model__class_weight': 'balanced', 'model__C': 0.01}",0.5726596709734615,0.5809764279655971,0.5787603726921423,0.5774654905437336,0.0035165941430366798,7
0.12790950139363608,0.0005268162417075671,0.008247693379720053,0.004127755860481403,balanced,1.0,"{'model__class_weight': 'balanced', 'model__C': 1}",0.5718402542075077,0.5824209714139225,0.5843641747052037,0.579541800108878,0.005503293965798804,1
0.08605051040649414,0.017431004156968043,0.014342546463012695,0.0011920138014939394,,0.01,"{'model__class_weight': None, 'model__C': 0.01}",0.5727386743230829,0.5808685862526142,0.5774959043381037,0.5770343883046003,0.0033350277142645867,8
0.12172961235046387,0.0035737300745485373,0.005059162775675456,0.0002208888912362018,balanced,10.0,"{'model__class_weight': 'balanced', 'model__C': 10}",0.5715971027426076,0.5823234709351008,0.5843726372340246,0.5794310703039109,0.005602264806535951,3
0.11723486582438152,0.012722821135572451,0.005019982655843099,0.00013961402403266232,,0.1,"{'model__class_weight': None, 'model__C': 0.1}",0.5721198482272825,0.5811095075361508,0.5817007877802364,0.5783100478478899,0.004383783114235735,6
0.1200706164042155,0.012035633582664271,0.0052882035573323565,0.0006134820088824472,balanced,100.0,"{'model__class_weight': 'balanced', 'model__C': 100}",0.5716187339261217,0.5823081446448026,0.5844140958906491,0.579446991487191,0.0056017836441798275,2
0.06938131650288899,0.04344131037084263,0.004653135935465495,0.0004194467162934784,,1.0,"{'model__class_weight': None, 'model__C': 1}",0.5716768734183993,0.5818084258696563,0.5819836387702143,0.5784896460194232,0.0048178887336728544,4
