task,policy,status,threshold,accuracy,precision,recall,specificity,f1,roc_auc,average_precision,brier_score,log_loss,test_cases,true_positive,false_positive,false_negative,true_negative,flags_per_1000_test_cases
diabetes,existing_baseline,research_only,0.24000000000000005,0.6623376623376623,0.5057471264367817,0.8301886792452831,0.5742574257425742,0.6285714285714286,0.7881561741079769,0.6760589736210916,0.17425192442925666,0.5178857631951685,154.0,44.0,43.0,9.0,58.0,564.9350649350649
diabetes,recall_80,research_only,0.300432538249056,0.6753246753246753,0.52,0.7358490566037735,0.6435643564356436,0.609375,0.7881561741079769,0.6760589736210916,0.17425192442925666,0.5178857631951685,154.0,39.0,36.0,14.0,65.0,487.012987012987
diabetes,recall_90,research_only,0.25881542183054257,0.6493506493506493,0.4939759036144578,0.7735849056603774,0.5841584158415841,0.6029411764705882,0.7881561741079769,0.6760589736210916,0.17425192442925666,0.5178857631951685,154.0,41.0,42.0,12.0,59.0,538.961038961039
cvd,existing_baseline,research_only,0.1,0.5247641509433962,0.20726495726495728,0.751937984496124,0.48400556328233657,0.3249581239530988,0.6860195577406174,0.3104905743232042,0.12030763179063797,0.3981838524341583,848.0,97.0,371.0,32.0,348.0,551.8867924528302
cvd,recall_80,infeasible_on_validation,,,,,,,,,,,,,,,,
cvd,recall_90,infeasible_on_validation,,,,,,,,,,,,,,,,
hypertension,existing_baseline,research_only,0.31000000000000005,0.6474056603773585,0.45384615384615384,0.6730038022813688,0.6358974358974359,0.5421133231240429,0.7400539468980534,0.5407194362256778,0.18326796301837017,0.5413101563267029,848.0,177.0,213.0,86.0,372.0,459.9056603773585
hypertension,recall_80,infeasible_on_validation,,,,,,,,,,,,,,,,
hypertension,recall_90,infeasible_on_validation,,,,,,,,,,,,,,,,
