mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_depth,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.21961704889933267,0.006582684732388225,0.01930522918701172,0.0005408646549130418,3,4,,"{'model__min_samples_leaf': 3, 'model__max_depth': 4, 'model__class_weight': None}",0.7216591690475503,0.7232487067813788,0.6886472833782356,0.7111850530690549,0.015949816185547448,4
0.2154393196105957,0.0016053331920128405,0.019910017649332683,0.0011067350779581976,10,4,,"{'model__min_samples_leaf': 10, 'model__max_depth': 4, 'model__class_weight': None}",0.7462869585506913,0.743344422338232,0.6691809575298511,0.719604112806258,0.035674786342381914,3
0.2122960090637207,0.0018981943192459124,0.018735567728678387,0.00025065684515021547,25,,,"{'model__min_samples_leaf': 25, 'model__max_depth': None, 'model__class_weight': None}",0.7203346594485325,0.7140589958998328,0.6573559214721266,0.697249858940164,0.028325379353409955,7
0.21289881070454916,0.003094727191280245,0.01951456069946289,0.0010606634775389063,25,8,,"{'model__min_samples_leaf': 25, 'model__max_depth': 8, 'model__class_weight': None}",0.7203346594485325,0.7140589958998328,0.6573559214721266,0.697249858940164,0.028325379353409955,7
0.2290352980295817,0.0035107609197478893,0.019707202911376953,9.624927820091004e-05,3,8,,"{'model__min_samples_leaf': 3, 'model__max_depth': 8, 'model__class_weight': None}",0.728754569825814,0.7109765623050748,0.6848160842042945,0.7081824054450611,0.018046294432133698,6
0.24921695391337076,0.0014895242956886171,0.019103129704793293,0.0002587168854004311,10,8,balanced,"{'model__min_samples_leaf': 10, 'model__max_depth': 8, 'model__class_weight': 'balanced'}",0.7584829423140733,0.7434912012214261,0.682746411597198,0.7282401850442325,0.0327459986571878,1
0.24776879946390787,0.0015934189893515149,0.018939971923828125,6.931491430107801e-05,10,,balanced,"{'model__min_samples_leaf': 10, 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.759150010900108,0.7446377522825022,0.6721854437016794,0.7253244022947632,0.03803912987801003,2
0.2861749331156413,0.027562598073803058,0.020870129267374676,0.001001814279108143,3,,balanced,"{'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.7346249213744968,0.7073235110533028,0.6854512663744177,0.7091332329340725,0.020115804838998327,5
