mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_depth,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.3243132432301839,0.014322327108381681,0.020032167434692383,0.0007594956966563184,3,3,,"{'model__min_samples_leaf': 3, 'model__max_depth': 3, 'model__class_weight': None}",0.7496676791660307,0.7505575320999108,0.7065549423948627,0.7355933845536015,0.020536492751778785,1
0.30216201146443683,0.0014721625465240406,0.019015789031982422,0.0002363037248899992,10,3,,"{'model__min_samples_leaf': 10, 'model__max_depth': 3, 'model__class_weight': None}",0.7338596655840028,0.7440174609274104,0.7117134873702108,0.7298635379605414,0.013487363317399659,2
0.2976013819376628,0.004633896095595068,0.019002993901570637,0.00016118757424373747,25,,,"{'model__min_samples_leaf': 25, 'model__max_depth': None, 'model__class_weight': None}",0.7240235370324486,0.7307970890952606,0.6798625114954747,0.7115610458743946,0.022584184188875527,5
0.30067793528238934,0.0016132490380525906,0.018850962320963543,0.00019661852110872122,25,6,,"{'model__min_samples_leaf': 25, 'model__max_depth': 6, 'model__class_weight': None}",0.7240235370324486,0.7307970890952606,0.6798625114954747,0.7115610458743946,0.022584184188875527,5
0.30805285771687824,0.001128680240538055,0.019819100697835285,0.0002044070378605682,3,6,,"{'model__min_samples_leaf': 3, 'model__max_depth': 6, 'model__class_weight': None}",0.7489410231104338,0.7298176930715683,0.6976385522798507,0.7254657561539509,0.021169008708201976,3
0.3324245611826579,0.003587592879107582,0.020032644271850586,0.00041690532025805035,10,6,balanced,"{'model__min_samples_leaf': 10, 'model__max_depth': 6, 'model__class_weight': 'balanced'}",0.7173015083627521,0.7183340642540338,0.6894177881504093,0.7083511202557317,0.013394522297690182,7
0.3435821533203125,0.00733200551988235,0.019318501154581707,0.00017425949993362107,10,,balanced,"{'model__min_samples_leaf': 10, 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.7182767082469396,0.715414737714541,0.6907631269574306,0.7081515243063038,0.012350843172399286,8
0.3424522082010905,0.003902369236638059,0.020178874333699543,0.0002926837931409254,3,,balanced,"{'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.7223951562484826,0.7374648531980519,0.698636797959708,0.7194989358020809,0.015983231589253938,4
